well_id,category,is_outlier,plate_number
A1,good_growth,False,6
A2,good_growth,False,6
A3,good_growth,False,6
A4,good_growth,False,6
A5,no_growth,True,6
A6,declining,True,6
A7,good_growth,False,6
A8,good_growth,False,6
A9,good_growth,False,6
A10,good_growth,False,6
A11,good_growth,False,6
A12,noisy,True,6
B1,good_growth,False,6
B2,good_growth,False,6
B3,good_growth,False,6
B4,good_growth,False,6
B5,good_growth,False,6
B6,good_growth,False,6
B7,noisy,True,6
B8,noisy,True,6
B9,good_growth,False,6
B10,noisy,True,6
B11,contamination,True,6
B12,good_growth,False,6
C1,good_growth,False,6
C2,good_growth,False,6
C3,good_growth,False,6
C4,good_growth,False,6
C5,good_growth,False,6
C6,good_growth,False,6
C7,good_growth,False,6
C8,good_growth,False,6
C9,good_growth,False,6
C10,good_growth,False,6
C11,noisy,True,6
C12,good_growth,False,6
D1,good_growth,False,6
D2,good_growth,False,6
D3,good_growth,False,6
D4,contamination,True,6
D5,contamination,True,6
D6,good_growth,False,6
D7,good_growth,False,6
D8,noisy,True,6
D9,good_growth,False,6
D10,good_growth,False,6
D11,good_growth,False,6
D12,good_growth,False,6
E1,contamination,True,6
E2,declining,True,6
E3,good_growth,False,6
E4,good_growth,False,6
E5,good_growth,False,6
E6,good_growth,False,6
E7,good_growth,False,6
E8,noisy,True,6
E9,no_growth,True,6
E10,good_growth,False,6
E11,good_growth,False,6
E12,bubbles,True,6
F1,good_growth,False,6
F2,good_growth,False,6
F3,good_growth,False,6
F4,good_growth,False,6
F5,good_growth,False,6
F6,declining,True,6
F7,good_growth,False,6
F8,noisy,True,6
F9,declining,True,6
F10,good_growth,False,6
F11,good_growth,False,6
F12,good_growth,False,6
G1,good_growth,False,6
G2,good_growth,False,6
G3,good_growth,False,6
G4,good_growth,False,6
G5,good_growth,False,6
G6,good_growth,False,6
G7,no_growth,True,6
G8,good_growth,False,6
G9,good_growth,False,6
G10,no_growth,True,6
G11,bubbles,True,6
G12,contamination,True,6
H1,good_growth,False,6
H2,good_growth,False,6
H3,good_growth,False,6
H4,good_growth,False,6
H5,good_growth,False,6
H6,no_growth,True,6
H7,good_growth,False,6
H8,no_growth,True,6
H9,good_growth,False,6
H10,noisy,True,6
H11,good_growth,False,6
H12,good_growth,False,6
